Preguntas,Categoría,Respuesta
"No encuentro el aula, ¿tienen un mapa o ubicación de las aulas?",Cursado,"Las aulas D están ubicadas en las Baterías D: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7
Las aulas A están ubicadas en las Baterías A: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
Las aulas C están ubicadas en: https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8
Las aulas R están ubicadas dentro del pabellón de los reformistas: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
Las aulas solo con número están ubicadas en el Edificio de FAMAF: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6"
¿En qué aula se cursa Matemática Discreta II?,Cursado,El aula de cursado de cada materia está publicada en el siguiente enlace: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/
¿A qué hora se cursa Algoritmos y Estructura de Datos I?,Cursado,"Los horarios de cursado de las materias están disponibles en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/"
"Soy alumno trabajador, ¿qué tengo que presentar para que me den el régimen especial?",Cursado,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:

https://forms.gle/EYCtgdb5Ld6tHNjT9

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email."
¿Qué beneficios tengo por ser alumno trabajador en la facu?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre."
¿Cómo puedo obtener mi diploma?,Egreso,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing"
"Todavía no me figura el aula para rendir, ¿cuándo la publican?",Exámenes,Las aulas designadas para rendir una materia son informadas unos días antes de la fecha de examen a través de la página web del Despacho de Estudiantes de FAMAF: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-Estudiantes-informa/
¿Cuándo empieza y termina el primer cuatrimestre?,Información General,"Los Calendarios Académicos de todos los años los podes encontrar en el siguiente enlace:

https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/

Allí vas a encontrar información sobre los períodos de cursado, las épocas de exámenes y las fechas de las colaciones correspondientes al año."
"Vengo de otra facu y quiero entrar a FAMAF, ¿cómo hago?",Ingreso,"En caso de que desees ingresar a FAMAF desde otra factulad, tenés que iniciar un trámite por email y pedir equivalencias de materias.

La recepción de solicitudes es desde el 1 de agosto al 31 de octubre y el resultado será entregado a comienzos del año siguiente para que puedas comenzar en FAMAF en marzo del año siguiente (una vez que te llegue el correo de confirmación). 

Para las equivalencias de materias no hay una tabla fija, más bien cada caso se evalúa con una Comision Asesora de Equivalencias, contando también el Curso de Nivelación como cualquier otra materia.

La documentación requerida para este trámite se debe enviar vía email a oficialia@famaf.unc.edu.ar y consiste de:
1. Documentación Académica:
  - Certificado Analítico Oficial con notas, fechas de aprobación y constancia de aplazos.
  - Certificado de sanciones disciplinarias, indicando si tuvise o no.
  - Certificado de cancelación de matrícula, solo si la carrera es de igual nombre.
  - Programas oficiales legalizados de las materias aprobadas, con carga horaria, contenidos, trabajos o laboratorios y bibliografía.
  - Escala de calificaciones de tu institución de origen.
  - Plan de estudios de la carrera que cursaste.
  - Resolución ministerial que de validez nacional a la carrera.

2. Documentación Personal
  - Certificado de estudios secundarios completos, legalizado por la Oficialía Mayor de la UNC (https://www.unc.edu.ar/oficialia-mayor).
  - DNI (frente y dorso).
  - Constancia de CUIL.

Además de una nota dirigida al decano junto con los requisitos, en el siguiente enlace podes encontrar un modelo orentativo: https://tinyurl.com/equivalencias-externas-FAMAF

IMPORTANTE:
- Si el estudiante ya es alumno de FAMAF, debe aclararlo en la nota y en ese caso, el trámite puede presentarse en cualquier día del año. 
- Si querés ingresar a dos o más carreras, tenes que hacer un trámite separado para cada carrera."
link o info para la preinscripcion del intensivo 2026,Ingreso,"La preinscripción al Curso de Nivelación intensivo de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0"
cuando arranca el cursillo y q modalidades tiene,,"El curso de nivelación de FAMAF tiene 3 ediciones:

- Curso de nivelación intensivo:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o a aquellas que no hayan completado el trámite de inscripción definitiva años anteriores (nuevxs ingresantes).
- Dictado: fines de enero y febrero de cada año
- Modalidad: intensiva y presencial. Se cursa de lunes a viernes, 4 hs por día, pudiendo optar por turno mañana (de 9 hs a 13 hs) o turno tarde (de 14 hs a 18 hs)
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximandamente a principios de noviembre estará la información)

- Re dictado del Curso de nivelación primer cuatrimestre:
- Destinado a: aquellas personas que hayan completado el trámite de inscripción definitiva en algún momento (estudiantes de FAMAF) y que no hayan aprobado el curso de nivelación en ediciones anteriores.
- Dictado: durante el primer cuatrimestre, consultar fechas exactas de Cursado en el Calendario Académico en el apartado ""Primer Cuatrimestre del año vigente - Grado y Posgrado"".
- Modalidad: no intensiva y presencial. Se cursa dos días por semana, 4 hs por día. Ver horarios en ""Horarios de cursada redictado"" en el siguiente enlace https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.
- Inscripciones: Por Guaraní, a través de la pestaña ""Inscripción a materias"" durante el periodo de Inscripciones del apartado ""Primer Cuatrimestre año vigente - Grado y Posgrado"" del Calendario Académico.

- Curso de nivelación no intensivo para nuevxs ingresantes:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o que no hayan aprobado el curso de nivelación en ediciones anteriores. Pueden estar cursando el último año del secundario.
- Dictado: de agosto a diciembre de cada año
- Modalidad: no intensiva, presencial o a distancia. 4 hs semanales, pudiendo optar por los días viernes de 16 hs a 20 hs o los días sábados de 9 hs a 13 hs.
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximadamente en junio de ese mismo año estará disponible la información)

El curso de nivelación es el mismo para todas las carreras."
¿Cómo se realiza la inscripción definitiva?,Ingreso,"La inscripción definitiva tendrá lugar del 2 al 23 de ferbrero de 2026.

Para realizar el trámite deberás enviar un mail a despachoestudiantes@famaf.unc.edu.ar con el asunto ""INSCRIPCIÓN DEFINITIVA"" y adjuntar (en un solo archivo) el Certificado Analítico o en caso de aún no tenerlo, la constancia de título del secundario en trámite con la leyenda ""no adeuda materias"".

Tras la INSCRIPCIÓN DEFINITIVA el/la INGRESANTE pasa a ser ESTUDIANTE DE LA UNIVERSIDAD."
