Preguntas,Categoría,Respuesta,Respuesta Mejorada, 
¿Dónde están ubicadas las aulas?,Cursado,"Las aulas D están ubicadas en las Baterías D: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7
Las aulas A están ubicadas en las Baterías A: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
Las aulas C están ubicadas en: https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8
Las aulas R están ubicadas dentro del pabellón de los reformistas: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
Las aulas solo con número están ubicadas en el Edificio de FAMAF: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6","Con estos enlaces podrás encontrar las aulas sin problemas:

📍 *Aulas D*: están en las Baterías D. Mirá el mapa: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7
📍 *Aulas A*: están en las Baterías A. Mirá el mapa: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
📍 *Aulas C*: mirá el mapa: https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8
📍 *Aulas R*: están en el pabellón de los reformistas. Mirá el mapa: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
📍 *Aulas solo con número*: están en el Edificio de FAMAF. Mirá el mapa: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6

Si necesitás más algo más, avisame 😊",
¿En qué aula se cursa una materia?,Cursado,El aula de cursado de cada materia está publicada en el siguiente enlace: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/,"Podés ver el aula donde cursas en los horarios de cursado mediante el siguiente enalce: 
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/

⚠️ *Dato importante:* Si el calendario de horarios aparece vacío, navegá con las flechas (< >) hasta una semana donde ya hayan comenzado las clases. ",
¿En qué horarios se cursa una materia?,Cursado,"Los horarios de cursado de las materias están disponibles en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/"," Podés ver los horarios de todas las materias en este link: 
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/ 

⚠️ *Dato importante:* Si el calendario de horarios aparece vacío, navegá con las flechas (< >) hasta una semana donde ya hayan comenzado las clases. ",
¿Cómo puedo inscribirme en el Régimen Especial de Cursado (RE)?,Cursado,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:

https://forms.gle/EYCtgdb5Ld6tHNjT9

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email.","📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Cómo puedo inscribirme al Régimen de Alumno Trabajador?,Cursado,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:

https://forms.gle/EYCtgdb5Ld6tHNjT9

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email.","📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Cómo puedo inscribirme al Régimen Trabajador?,Cursado,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:

https://forms.gle/EYCtgdb5Ld6tHNjT9

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email.","📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Qué es el Régimen Especial de Cursado (RE)?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre.","📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Qué es el Régimen de Alumno Trabajador?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre.","📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Qué es el Régimen Trabajador?,Cursado,"El Régimen Especial de Cursado (RE) permite a los/as estudiantes que se encuentren en situación de trabajo, enfermedad o embarazo y/o que tengan persona/s a cargo, acceder a los siguientes derechos:

1. Eximición del requisito de asistencia a clase para regularizar o promocionar una materia.
2. Eximición del requisito de asistir a los laboratorios, excepto cuando estas actividades sean necesariamente presenciales.
3. Posibilidad de rendir los parciales en un día y horario especial.
4. Prioridad para la elección de la comisión de cursada al momento de la inscripción del cuatrimestre.","📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Cómo es el trámite para solicitar el diploma digital?,Cursado,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing","📌 *Diploma digital:*

Seguí este instructivo paso a paso para obtenerlo:
 🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing",
